City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Urucara,BR,83.7,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
484,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
487,Sinnamary,GF,79.9,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
489,Port Keats,AU,76.53,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
490,Meulaboh,ID,75.4,overcast clouds,4.1363,96.1285,Kost Pria
491,Puerto Maldonado,PE,82.31,overcast clouds,-12.6,-69.1833,Wasai Hotel
495,San Pedro,PH,78.03,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
509,Karratha,AU,84.33,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
511,Tayu,ID,77.77,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
516,Iquitos,PE,73.44,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
517,Lorengau,PG,80.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
518,Sambava,MG,76.66,overcast clouds,-14.2667,50.1667,Melrose
520,Jibuti,DJ,74.62,clear sky,11.5,42.5,Orchid Main Camp Goubet
521,Chake Chake,TZ,78.17,overcast clouds,-5.2459,39.7666,Hotel Archipelago
523,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
524,Mombaca,BR,86.09,broken clouds,-5.7431,-39.6275,Mombaça Premium Hotel
525,San Isidro,PE,82.02,clear sky,-12.1167,-77.05,Soul Mate-Inn
531,Harper,LR,80.29,few clouds,4.375,-7.7169,Screensaver
532,Yeppoon,AU,73.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
534,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
538,Lima,PE,80.91,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
543,Manaure,CO,84.31,overcast clouds,11.7751,-72.4445,Hotel Palaaima
544,Ampanihy,MG,75.22,overcast clouds,-24.7,44.75,Angora Hotel
545,Farafangana,MG,77.5,heavy intensity rain,-22.8167,47.8333,Miarina
548,Mana,GF,80.02,heavy intensity rain,5.6592,-53.7767,LE SAMANA
551,Aguada De Pasajeros,CU,87.94,clear sky,22.385,-80.8508,El Bosque
553,Tres Picos,MX,78.15,scattered clouds,15.8667,-93.5333,Tres picos Chiapas
